M N nhits nmiss rc rr rl ratio
1 1 1 1 1.6307247090153397e-05 1.6579645001329482e-05 2.7464633295312523e-05 0.9835703411530077
1 1 1 100 1.6676025409251452e-05 1.674214124912396e-05 2.779387079644948e-05 0.9960509328592622
1 1 1 800 1.8185382918454706e-05 1.758027084171772e-05 2.8812287491746248e-05 1.0344199518986399
1 1 1 3200 2.3891920899040996e-05 2.0604670909233393e-05 3.214142499491572e-05 1.1595390678302226
1 1 1 10000 3.915779169183225e-05 2.8782529197633265e-05 4.0193125000223517e-05 1.3604708405907608
1 1 100 1 1.6530426668468862e-05 1.7060678750276564e-05 2.8156716609373688e-05 0.9689196373972456
1 1 100 100 1.6959180000703783e-05 1.7209664171095936e-05 2.8615420800633728e-05 0.9854451447801725
1 1 100 800 1.8565818751230834e-05 1.8112099999561907e-05 2.9439725005067883e-05 1.0250505878213958
1 1 100 3200 2.410848329309374e-05 2.108743330463767e-05 3.2522654091008005e-05 1.143263048888537
1 1 100 10000 3.9644533395767213e-05 2.940052920021117e-05 4.092791248112917e-05 1.3484292451267328
1 1 800 1 1.7652539580594747e-05 2.0291825011372565e-05 3.201176670845598e-05 0.8699335604708482
1 1 800 100 1.796269708080217e-05 2.0425029215402902e-05 3.1925033289007845e-05 0.8794453555667945
1 1 800 800 1.9543032499495895e-05 2.1347245783545078e-05 3.2848058314993975e-05 0.9154826199902608
1 1 800 3200 2.484856250230223e-05 2.426910412032157e-05 3.577909581363201e-05 1.0238763812256033
1 1 800 10000 4.048750000074506e-05 3.2489558402448894e-05 4.416637499816716e-05 1.2461696000673657
1 1 3200 1 2.1150679094716908e-05 3.208511658012867e-05 4.328570000361651e-05 0.6592053060457381
1 1 3200 100 2.1289125015027822e-05 3.211027500219643e-05 4.347437079995871e-05 0.6630003951561171
1 1 3200 800 2.299771250691265e-05 3.3158516720868645e-05 4.4700779183767735e-05 0.6935687956282679
1 1 3200 3200 2.8704654099419714e-05 3.5831583314575254e-05 4.7380129201337695e-05 0.8010992382729425
1 1 3200 10000 4.393597089219838e-05 4.336248750332743e-05 5.511132078245282e-05 1.0132253341976045
1 1 10000 1 3.0123383295722306e-05 6.376874591223896e-05 7.487917500548065e-05 0.4723847531387756
1 1 10000 100 3.06645791977644e-05 6.422474170103669e-05 7.520745419897139e-05 0.4774574157184882
1 1 10000 800 3.2039262517355384e-05 6.475484170950949e-05 7.579174169804901e-05 0.4947778679018885
1 1 10000 3200 3.749291670974344e-05 6.717422909568995e-05 7.878987919539213e-05 0.5581443540845796
1 1 10000 10000 5.300144169013947e-05 7.455969171132892e-05 8.60001458087936e-05 0.7108591850854743
1 8 1 1 1.6539131661411376e-05 1.66818349994719e-05 2.788969581015408e-05 0.9914455850891079
1 8 1 100 1.8264454158488662e-05 1.6669337500352412e-05 2.7968545793555676e-05 1.095691664896852
1 8 1 800 3.111893329769373e-05 1.752101375022903e-05 2.855955420527607e-05 1.7760920538794138
1 8 1 3200 7.440156659577042e-05 2.0364645821973682e-05 3.177924999035895e-05 3.6534672513425344
1 8 1 10000 0.0001962305749999359 2.8686904185451568e-05 4.006575830280781e-05 6.840423551156606
1 8 100 1 1.733079583151266e-05 1.7797172090504318e-05 2.897285840008408e-05 0.9737949233383829
1 8 100 100 1.9171852918807416e-05 1.8062903750687836e-05 2.9442304186522962e-05 1.0613937373207423
1 8 100 800 3.214566670358181e-05 1.8991291660349817e-05 3.0144770815968513e-05 1.6926529947773807
1 8 100 3200 7.55429832963273e-05 2.1995783294551073e-05 3.342243749648333e-05 3.434430239865168
1 8 100 10000 0.0001967869540909305 3.026160409208387e-05 4.1544841695576905e-05 6.502859316119596
1 8 800 1 2.4965091608464716e-05 2.7755183400586246e-05 3.8868483388796447e-05 0.8994749286339575
1 8 800 100 2.6865158416330815e-05 2.7972070802934468e-05 3.900034159887582e-05 0.9604279427718476
