M N colnnz rac rar ratio
1 1 1 2.0367808267474174e-05 0.00042210366763174536 0.048253094747434416
1 1 8 2.044442892074585e-05 0.00042153945937752725 0.04849944285390372
1 1 64 2.0645433478057383e-05 0.00042223112657666204 0.04889604810863917
1 1 512 2.1673908084630966e-05 0.00042697300016880034 0.050761776683917625
1 1 4096 2.824491262435913e-05 0.00044237625040113924 0.06384816680087849
1 1 32768 7.51012833788991e-05 0.0005824378747493028 0.12894299398236206
1 2 1 2.0458608493208884e-05 0.00041744770854711534 0.04900879337537391
1 2 8 2.030083741992712e-05 0.0004201231673359871 0.04832115674233179
1 2 64 2.0721146091818808e-05 0.00041734050028026105 0.04965045586973639
1 2 512 2.216699607670307e-05 0.0004216234181076288 0.05257534359973442
1 2 4096 3.294696658849716e-05 0.0004506268724799156 0.0731136303682502
1 2 32768 0.00011174409594386816 0.0006806110851466656 0.16418200993565704
1 8 1 2.0410883240401745e-05 0.00043084058351814747 0.04737456038549353
1 8 8 2.0628375187516214e-05 0.00042534654028713703 0.04849780880688649
1 8 64 2.1437299996614456e-05 0.00042093528993427754 0.050927780372041404
1 8 512 2.6139270700514316e-05 0.0004266237486153841 0.061270078811481644
1 8 4096 6.073747910559177e-05 0.00047907604463398454 0.12678045539095026
1 8 32768 0.00033213050104677675 0.0009118689578026533 0.36423051602405404
1 32 1 2.0413591526448726e-05 0.0004235168341547251 0.04820018917829119
1 32 8 2.0874612405896187e-05 0.0004291108325123787 0.04864620238943516
1 32 64 2.3522083275020122e-05 0.00043129812367260454 0.054537875274587505
1 32 512 4.1307337395846846e-05 0.00045277891494333744 0.0912307000890627
1 32 4096 0.00017109177932143213 0.0006334383748471736 0.2701001172572005
1 32 32768 0.0012414484173059463 0.0021723166853189466 0.571485928223984
2 1 1 2.0416354201734067e-05 0.0004232609570026398 0.048235855124257855
2 1 8 2.035113349556923e-05 0.00042265654169023036 0.04815052291438281
2 1 64 2.0808462239801883e-05 0.00042394400015473364 0.049083044534672236
2 1 512 2.221927475184202e-05 0.0004278711657971144 0.05192982497534745
2 1 4096 3.3043558336794376e-05 0.0004599817916750908 0.07183666600467258
2 1 32768 0.00011187339182943106 0.0007169599160552025 0.15603855853611953
2 2 1 2.0591612346470357e-05 0.0004191042482852936 0.04913243526095967
2 2 8 2.0488478988409043e-05 0.000417603874579072 0.049061994477567074
2 2 64 2.0896979235112666e-05 0.0004186232499778271 0.049918343609007626
2 2 512 2.3194896057248117e-05 0.00042738820798695086 0.05427125883163419
2 2 4096 4.0247599966824055e-05 0.0004773945435881615 0.08430678671841887
2 2 32768 0.00016905782092362643 0.0008928728736937046 0.18934142351559538
2 8 1 2.0467920787632464e-05 0.00042576516605913637 0.04807326296108871
2 8 8 2.0545137487351894e-05 0.000424254210665822 0.04842647867915908
2 8 64 2.1739929169416426e-05 0.0004212025851011276 0.051613950005071386
2 8 512 2.921553310006857e-05 0.0004373434167355299 0.06680227021168532
2 8 4096 8.348347898572683e-05 0.0005255974177271128 0.15883540552147646
2 8 32768 0.0005133716259151697 0.0012705490421503782 0.40405494702219347
2 32 1 2.0725412666797637e-05 0.0004239432495087385 0.048887233588019274
2 32 8 2.12376918643713e-05 0.00042147558368742466 0.05038890195860462
2 32 64 2.497272491455078e-05 0.0004254331272095442 0.058699530707326975
2 32 512 5.246294587850571e-05 0.0004648965001106262 0.11284865742379581
2 32 4096 0.00025553474947810173 0.0007767483331263066 0.3289801066577241
2 32 32768 0.0019164904579520225 0.0033243495598435403 0.5765008833915233
8 1 1 2.046939581632614e-05 0.0004193362481892109 0.04881380015373733
8 1 8 2.047417927533388e-05 0.0004204157516360283 0.04869983866127652
8 1 64 2.1466354094445704e-05 0.00042357566580176353 0.05067891247674297
8 1 512 2.6211016811430456e-05 0.0004398442916572094 0.059591581176772185
8 1 4096 6.061300840228796e-05 0.0005615948736667633 0.10793013121101643
8 1 32768 0.00033205558359622955 0.0015348194148391485 0.21634830807181932
8 2 1 2.064812909811735e-05 0.00041772937588393686 0.04942943994404236
8 2 8 2.058864161372185e-05 0.00041722783446311953 0.049346280168999036
8 2 64 2.1724229119718075e-05 0.00042021399922668936 0.05169801377321246
8 2 512 2.9243708215653895e-05 0.0004443812929093838 0.06580769416325799
8 2 4096 8.350528758019209e-05 0.000637356873601675 0.13101810153596913
8 2 32768 0.000512883834540844 0.002170229163020849 0.23632704014857844
8 8 1 2.0540250092744826e-05 0.00042414045892655847 0.04842794329201555
8 8 8 2.0938420854508878e-05 0.00042261241748929026 0.04954520971935117
8 8 64 2.456257902085781e-05 0.0004243034608662128 0.057889179057633564
8 8 512 4.7014995850622655e-05 0.0004660730846226215 0.1008747284531365
8 8 4096 0.000219846460968256 0.0007976007517427206 0.27563472136642514
8 8 32768 0.0015996172092854976 0.003416985832154751 0.4681369159428967
