M N colnnz rac rar ratio
1 1 1 0.00013839080836623908 0.002282177899032831 0.06063979868742398
1 1 4 0.0001171087209135294 0.002389598358422518 0.04900770060406225
1 1 16 0.00012518797535449267 0.002066076658666134 0.060592125093419553
1 1 64 0.00012013361677527428 0.002167379576712847 0.05542804687560762
1 1 256 0.00013897704165428878 0.002080197110772133 0.06680955421705345
1 2 1 0.00010926142502576112 0.002043800391256809 0.05345992959643783
1 2 4 0.00011176571249961853 0.0021037100069224834 0.05312790837702985
1 2 16 2.0700450055301188e-05 0.0016990425065159798 0.012183597512077015
1 2 64 2.117857914417982e-05 0.00043952208384871483 0.04818547218089175
1 2 256 0.00011311324983835221 0.0022955016791820528 0.049276047525548934
1 8 1 2.0514708384871484e-05 0.002008078321814537 0.010216089762043747
1 8 4 0.00011284362096339464 0.0024330716766417025 0.04637907795595623
1 8 16 0.0001176366500556469 0.0020031537488102913 0.05872572193997261
1 8 64 0.0001273232875391841 0.0019571346044540403 0.06505596868474053
1 8 256 0.0001469936290755868 0.0021141800098121166 0.06952748980378916
1 32 1 0.00012223399989306927 0.0021397787518799304 0.0571245974779771
1 32 4 2.10786335170269e-05 0.002073363736271858 0.010166394419017215
1 32 16 0.00012363530825823546 0.0021447825059294702 0.0576446832797419
1 32 64 0.00014156879559159278 0.0021690054424107074 0.0652689904891379
1 32 256 0.0002089017480611801 0.0021582475118339063 0.09679230343866914
2 1 1 0.00012939154990017414 0.001967560425400734 0.06576242753704548
2 1 4 0.00012827346660196782 0.002050807066261768 0.06254779823622608
2 1 16 0.00011373087521642446 0.0020018208399415014 0.05681371326903959
2 1 64 0.00012399610821157693 0.0021371937356889246 0.05801818812256942
2 1 256 0.00011971279997378587 0.002128219585865736 0.05625021063091478
2 2 1 0.00011563723348081112 0.001841234290972352 0.06280419284378162
2 2 4 0.0001178746584802866 0.002392413727939129 0.04927018145052448
2 2 16 0.0001210060914978385 0.002095989603549242 0.05773220024227836
2 2 64 0.00014451279994100332 0.002110822070389986 0.0684628050692609
2 2 256 0.00012434304133057594 0.001726248748600483 0.07203077854879504
2 8 1 0.00012189031653106213 0.002130356226116419 0.057215931794310684
2 8 4 0.00011527209989726543 0.002172345407307148 0.05306343066324678
2 8 16 0.00013949353732168674 0.0018130391836166382 0.0769390637456748
2 8 64 0.00012170119155198336 0.002084189150482416 0.05839258472476638
2 8 256 0.00015649072080850602 0.0022045358084142206 0.0709857922067838
2 32 1 0.0001281253207474947 0.0021050437353551388 0.06086587114347003
2 32 4 0.0001238149706274271 0.0019673220813274384 0.06293579063774027
2 32 16 0.00011801795400679112 0.0017805912345647812 0.066280206099991
2 32 64 0.00016086754985153676 0.0019942800141870974 0.08066447475135989
2 32 256 0.0002652287911623716 0.001971680819988251 0.13451913132874727
8 1 1 0.00011771496683359146 0.0018019441887736321 0.06532664416965431
8 1 4 0.00012406528759747743 0.0020017708465456963 0.06197776724122417
8 1 16 0.00011559278331696987 0.002202757503837347 0.05247639974695341
8 1 64 0.00013418620824813844 0.0020473745837807657 0.06554062422731882
8 1 256 0.000141900066845119 0.002082995008677244 0.06812309499254596
8 2 1 2.0940408296883105e-05 0.0021804852075874804 0.009603554394231304
8 2 4 0.0001299543460831046 0.00199676001444459 0.06508260639386458
8 2 16 0.00011417542919516564 0.0020205333270132543 0.05650757038684404
8 2 64 0.00014367846231907606 0.0018466724827885628 0.07780397642689449
8 2 256 0.00015186923742294313 0.0018586316704750062 0.08171023868550042
8 8 1 0.00011188756264746189 0.002074596676975489 0.053932199877318045
8 8 4 0.00011277716234326362 0.0018744387477636338 0.060165829626503645
8 8 16 0.00013261914998292923 0.0020023829117417334 0.06623066407791758
8 8 64 0.00012238708324730397 0.0019741529040038586 0.06199473353816
8 8 256 0.0002112435419112444 0.002313962075859308 0.09129084012009896
8 32 1 0.00010505862478166818 0.00226155498996377 0.04645415444147622
8 32 4 0.00012012264151126146 0.0016835908219218253 0.0713490712512563
8 32 16 0.00013584962487220764 0.0022010629065334795 0.06172001012281894
8 32 64 0.00023371804319322108 0.0019455925188958645 0.1201269232500223
8 32 256 0.0004642432909458876 0.002320455424487591 0.20006559317915062
32 1 1 0.00010850562490522862 0.0019071399979293346 0.05689442045315914
32 1 4 0.00012110648341476917 0.0018975370936095714 0.06382298602890316
32 1 16 0.00012675423324108123 0.0022203083522617816 0.0570885720048566
32 1 64 0.00013809835426509381 0.0021990180406719446 0.06280000969109634
32 1 256 0.00019587458297610282 0.0021014787629246713 0.09320797641728253
32 2 1 0.00011586844567209482 0.002383308336138725 0.04861664095876786
32 2 4 0.0001217757124453783 0.0018133578822016716 0.06715481463456373
32 2 16 0.000125041233189404 0.0019763395749032497 0.06326910353729334
32 2 64 0.00012909137271344663 0.0017686179094016552 0.07298997258097414
32 2 256 0.00020890983194112777 0.0020959987677633763 0.09967077994232497
32 8 1 0.00011972194984555245 0.0021246108412742615 0.056350060688642505
32 8 4 0.00013604938331991434 0.0018531129322946073 0.0734166714553397
32 8 16 0.00013378645852208138 0.0019376616552472116 0.06904531457274081
32 8 64 0.00025261845998466014 0.0021292545646429063 0.11864173696254414
32 8 256 0.00012264187633991241 0.0026416641660034655 0.04642599082738647
32 32 1 0.00012476278766989708 0.0019554320722818376 0.06380318162845133
32 32 4 0.0001225410420447588 0.0020232070796191693 0.060567721059885206
32 32 16 0.00022055846080183984 0.0021600808389484884 0.10210657713588446
32 32 64 0.0006101742498576641 0.0023744891583919524 0.2569707457712232
32 32 256 0.0016586641669273376 0.0035236029140651224 0.4707295933677624
