M N colnnz rac rar ratio
1 1 1 4.1833691857755186e-05 0.0004392689149826765 0.09523481045638066
1 1 4 0.00042154783383011816 0.00044492591731250285 0.947456233559969
1 1 16 0.0019978183694183828 0.00045098541863262655 4.429895705887132
1 1 64 0.008323672506958247 0.0005027897488325834 16.55497656084835
1 1 256 0.03375198338180781 0.0007617715820670128 44.307223026388314
2 2 1 4.187335856258869e-05 0.00043961512483656407 0.09525004076726425
2 2 4 0.0004281967468559742 0.000444092208519578 0.9642068440772857
2 2 16 0.0019963141717016697 0.0004515871237963438 4.420662296389932
2 2 64 0.008322224151343108 0.0005050991643220186 16.476416393430014
2 2 256 0.03373900428414345 0.0007605102509260178 44.36364170379285
8 8 1 4.190098326653242e-05 0.0004391883760690689 0.09540549238020558
1 1 1 0.00026715900003910066 0.002091824170202017 0.1277158012823324
1 1 4 0.0013384319990873336 0.002233423739671707 0.5992736511720211
1 1 16 0.005535894613713026 0.0021073116548359395 2.626993781868497
1 1 64 0.02158024553209543 0.0021832416765391826 9.884496876362249
1 1 256 0.09103845823556185 0.004197240006178617 21.690076836575265
2 2 1 0.00030350025184452533 0.0020702116936445235 0.14660348638560025
2 2 4 0.0012823355421423912 0.0021679049916565416 0.5915091053702182
2 2 16 0.005502890832722187 0.002175143752247095 2.52989754219107
2 2 64 0.020535912364721298 0.002278933357447386 9.011194775666192
2 2 256 0.09206370823085308 0.004508098755031824 20.42184815230455
8 8 1 0.0002528328336775303 0.0020568908378481867 0.1229199085460612
8 8 4 0.0013839087076485156 0.002015553321689367 0.6866147835218624
8 8 16 0.005415797494351864 0.002100674156099558 2.5781235412576717
8 8 64 0.01812235005199909 0.0026256749965250493 6.901977615654308
8 8 256 0.10249494183808565 0.003648217506706715 28.09452606640467
32 32 1 0.000231434041634202 0.002102824579924345 0.1100586534148885
32 32 4 0.0012756933737546206 0.0019467025250196456 0.6553098675113429
32 32 16 0.005305484160780907 0.0019605933129787445 2.70606052038413
32 32 64 0.0205595251172781 0.002431729584932327 8.454692184801566
32 32 256 0.10576754994690418 0.004362186267971992 24.24645428909577
