M N colnnz rac rar ratio
1 1 1 0.0001223698291927576 0.0020311466604471208 0.06024667325884782
1 1 4 0.00011793320830911397 0.0021204808354377746 0.05561625756677333
1 1 16 0.00012216453738510608 0.0019773074984550474 0.06178327724977441
1 1 64 0.00011693109162151813 0.002010823339223862 0.05815085260878822
1 1 256 0.00012046103328466415 0.0019921158254146577 0.060468890286331754
1 2 1 0.00012797275446355344 0.0017468679323792457 0.07325840270549457
1 2 4 0.00011363058760762214 0.0022475445456802846 0.05055765761173314
1 2 16 0.00011163450833410025 0.001627970840781927 0.06857279352772763
1 2 64 0.00013484060429036618 0.0021397758089005945 0.06301622989169438
1 2 256 0.00011695020832121372 0.002035514581948519 0.05745486146764021
1 8 1 0.0001190555164590478 0.0019613958150148394 0.060699383341014754
1 8 4 0.00011775801666080951 0.0021067625284194947 0.05589524926150659
1 8 16 0.00012028205431997775 0.0023696616664528845 0.050759167868899356
1 8 64 0.00013492072112858294 0.0021042766608297824 0.06411738705279346
1 8 256 0.00013408100828528403 0.001968017537146807 0.06812998652424207
1 32 1 0.00010751128308475017 0.001816572491079569 0.0591835908628438
1 32 4 0.00011869909577071667 0.0020260608382523058 0.0585861458499476
1 32 16 0.00012130487505346537 0.0019221683219075203 0.06310835199546151
1 32 64 0.00012989137917757034 0.002158113345503807 0.06018746858138142
1 32 256 0.0001668264176696539 0.002080023754388094 0.08020409253390054
2 1 1 0.0001348705042153597 0.0016138937510550022 0.08356839112066383
2 1 4 0.0001117900000885129 0.0021841062605381014 0.05118340719419532
2 1 16 0.00011404198333621026 0.0020161895640194417 0.05656312549741507
2 1 64 0.00013527190405875444 0.0021173775196075438 0.06388653077030265
2 1 256 0.00014517662115395068 0.002799710389226675 0.05185415667013001
2 2 1 0.00011360369585454464 0.0019488156680017709 0.05829371023634515
2 2 4 0.00012233039997518064 0.0020646441541612146 0.05925011325977322
2 2 16 0.00011809147484600544 0.0017898399941623211 0.06597878873595876
2 2 64 0.0001347196999937296 0.0018825883232057095 0.07156089216803711
2 2 256 0.00011470036674290896 0.0020382362231612205 0.05627432455547935
2 8 1 0.00011291218735277653 0.002412574999034405 0.046801524262652085
2 8 4 0.00011070947907865048 0.0019445125199854373 0.05693431024012105
2 8 16 0.00011380493752658367 0.002089788764715195 0.05445762722439245
2 8 64 0.00012220415826886893 0.0022019850090146064 0.055497270766414336
2 8 256 0.00014450017921626568 0.0020179858244955538 0.07160614185800196
2 32 1 0.00011588417477905751 0.0020549216866493224 0.05639347500780619
2 32 4 0.00012150283753871918 0.0022176554426550864 0.05478887080548906
2 32 16 0.0001195613706484437 0.0020577387511730195 0.05810327991358836
2 32 64 0.00013605231679975988 0.0019895220920443536 0.06838442123553297
2 32 256 0.00019871712476015092 0.0020632350072264673 0.09631337393178453
8 1 1 0.00011395597476512193 0.002243682909756899 0.05078969682818013
8 1 4 0.00011621312908828259 0.0019978866539895534 0.058168029130290316
8 1 16 0.00012062515839934349 0.0020058741606771946 0.060135955068397584
8 1 64 0.00012703307531774044 0.0019956045784056188 0.06365643609578861
8 1 256 0.00013399093337357045 0.0017901933379471302 0.07484718579459243
8 2 1 0.00011918001640588045 0.0022630637511610987 0.052663128179545694
8 2 4 0.00011524835396558046 0.0020076362416148186 0.05740499776636917
8 2 16 2.105735819786787e-05 0.00041854795813560483 0.05031050274780106
8 2 64 2.19179542735219e-05 0.00042001716792583466 0.05218347236080623
8 2 256 2.512290421873331e-05 0.0004316620826721191 0.05820039615991963
8 8 1 2.056951690465212e-05 0.000416783707216382 0.04935297745209849
8 8 4 2.0782499946653844e-05 0.00041838204115629194 0.04967349910435156
8 8 16 2.165073323994875e-05 0.00041843062452971935 0.05174270708383819
8 8 64 2.4485891498625278e-05 0.0004240573327988386 0.057741936301431034
8 8 256 3.4239403903484343e-05 0.00044137812592089174 0.07757385763521293
8 32 1 2.113925013691187e-05 0.0004177193753421307 0.05060634336053454
8 32 4 2.2042883187532426e-05 0.00041993654146790506 0.05249098616300606
8 32 16 2.426889557391405e-05 0.00042222646065056326 0.05747838621132537
8 32 64 3.524834588170052e-05 0.0004375091250985861 0.08056596733555633
8 32 256 7.15565038844943e-05 0.0004939486682415009 0.1448662755570159
32 1 1 2.0776283368468283e-05 0.00041872429102659224 0.04961805133762547
32 1 4 2.0899112708866597e-05 0.00041722641699016097 0.050090578778858676
32 1 16 2.142040003091097e-05 0.0004201821256428957 0.05097884637081335
32 1 64 2.361783739179373e-05 0.0004252626672387123 0.05553705794385273
32 1 256 3.181134164333343e-05 0.0004508981239050627 0.0705510623282863
32 2 1 2.070950847119093e-05 0.0004183598775416613 0.04950166013261783
32 2 4 2.1023720875382423e-05 0.0004173111245036125 0.05037900894779628
