M N colnnz rac rar ratio
10 1 1 2.0861720852553846e-05 2.616390436887741e-05 0.7973473896873496
10 1 2 2.0737312547862528e-05 2.610644157975912e-05 0.7943370024025261
10 1 4 2.065353337675333e-05 2.6054666563868522e-05 0.7926999689719596
10 1 10 2.11540000513196e-05 2.582524586468935e-05 0.8191209548267377
10 1 20 2.1670258231461046e-05 2.5728454068303107e-05 0.8422681819098619
10 1 40 2.280630823224783e-05 2.5969295948743822e-05 0.8782027929159554
10 1 80 2.4637920781970024e-05 2.67428332939744e-05 0.9212905944233423
10 1 160 2.6593258418142795e-05 2.8581699915230275e-05 0.9304295579694368
10 1 320 3.3809846080839634e-05 3.1388770788908006e-05 1.0771318924278224
10 2 1 2.0680304244160652e-05 2.6174762472510338e-05 0.790085650858526
10 2 2 2.0811195857822895e-05 2.5988825038075448e-05 0.8007747879072269
10 2 4 2.103072926402092e-05 2.6076779142022133e-05 0.8064925944067372
10 2 10 2.1454450115561487e-05 2.5565533339977264e-05 0.8391943101774761
10 2 20 2.2581675089895725e-05 2.542077898979187e-05 0.8883156216008867
10 2 40 2.4321020767092706e-05 2.5593074969947338e-05 0.950296937575952
10 2 80 2.761973738670349e-05 2.690726686269045e-05 1.0264787400239803
10 2 160 3.436865005642176e-05 2.841270826756954e-05 1.209622459526337
10 2 320 5.7152695767581466e-05 3.128407504409552e-05 1.8268942165310504
10 4 1 2.0706437341868877e-05 2.5877670757472514e-05 0.8001661948608579
10 4 2 2.0814287476241587e-05 2.5987262465059757e-05 0.8009419039126069
10 4 4 2.117997482419014e-05 2.5558958388864995e-05 0.8286712823718746
10 4 10 2.2139912471175193e-05 2.5300833396613596e-05 0.8750665293949772
10 4 20 2.3919916711747645e-05 2.532185446470976e-05 0.9446352653627345
10 4 40 2.747816275805235e-05 2.6127020828425884e-05 1.0517143511500722
10 4 80 4.308817479759455e-05 2.710356246680021e-05 1.5897605656221119
10 4 160 6.051377076655626e-05 2.8429145738482475e-05 2.1285821010317294
10 4 320 0.0001064093416556716 3.215019162744284e-05 3.309757617893713
10 8 1 2.082239165902138e-05 2.5995029136538506e-05 0.8010143612323753
10 8 2 2.125829178839922e-05 2.563183344900608e-05 0.829370705403969
10 8 4 2.1720320917665958e-05 2.5157633237540722e-05 0.8633690106132266
10 8 10 2.3750449903309345e-05 2.5284033641219138e-05 0.9393457642213512
10 8 20 2.714852076023817e-05 2.5726800039410592e-05 1.055262244766145
10 8 40 4.108092505484819e-05 2.638649996370077e-05 1.5568917860027727
10 8 80 7.536088749766349e-05 2.721369992941618e-05 2.7692260770540593
10 8 160 0.00012250217087566851 3.0208716727793217e-05 4.0551928100594115
10 8 320 0.0001979316659271717 3.6873662658035755e-05 5.367833072694153
10 16 1 2.1670841611921787e-05 2.5578179210424422e-05 0.8472394158177532
10 16 2 2.169794999063015e-05 2.5203504227101803e-05 0.8609100462822918
10 16 4 2.2805020771920682e-05 2.497579175978899e-05 0.9130849981155253
10 16 10 2.6914595812559128e-05 2.5584516488015653e-05 1.0519876670394186
10 16 20 3.921793755143881e-05 2.601496670395136e-05 1.507514424205743
10 16 40 7.990899588912725e-05 2.6511208526790142e-05 3.0141589286047634
10 16 80 0.00015361752081662417 2.8024700097739697e-05 5.481504539954525
10 16 160 0.0002458788342773914 3.2723387703299523e-05 7.513856343565531
10 16 320 0.0003896366246044636 5.4533533193171026e-05 7.144899693630266
100 1 1 2.1512933261692525e-05 2.6801729202270506e-05 0.8026696001342354
100 1 2 2.18039957806468e-05 2.6974820718169213e-05 0.8083092009564482
100 1 4 2.274645417928696e-05 2.7161537483334542e-05 0.8374509062030624
100 1 10 2.561636660248041e-05 2.7632287330925463e-05 0.9270447392102471
