M N colnnz rac rar ratio
1 1 1 2.0450862497091294e-05 3.091215416789055e-05 0.6615799852064099
1 1 2 2.0612745732069014e-05 3.1125579215586184e-05 0.6622445670584388
1 1 4 2.06685833632946e-05 3.131015412509441e-05 0.6601239738621784
1 1 10 2.083475422114134e-05 3.092414997518063e-05 0.6737373294937153
1 1 20 2.2076766565442084e-05 3.035203330218792e-05 0.7273570882597407
1 1 40 2.088992465287447e-05 3.0648195929825304e-05 0.6816037296520097
1 1 80 2.196629587560892e-05 3.0187354236841202e-05 0.7276654887761197
1 1 160 2.1743125095963477e-05 2.9707074724137782e-05 0.7319174068087092
1 1 320 2.216929569840431e-05 3.0763900093734264e-05 0.7206269566230833
1 1 640 2.3088783398270608e-05 3.213240411132574e-05 0.718551382532018
1 1 1280 2.5179125182330607e-05 3.39934790506959e-05 0.7407045670371051
1 1 2560 2.9825950041413306e-05 4.201268739998341e-05 0.7099272121646064
1 1 5120 4.8016199842095375e-05 7.21972918137908e-05 0.66506926556106
1 2 1 2.060206662863493e-05 3.0842225253582e-05 0.6679824966988144
1 2 2 2.060397919267416e-05 3.079755399376154e-05 0.6690134936315973
1 2 4 2.0734862610697748e-05 3.094722498208284e-05 0.6700071693892545
1 2 10 2.0857558213174344e-05 3.0764370784163476e-05 0.677977728181301
1 2 20 2.0968608185648917e-05 3.100731670856476e-05 0.6762471058921723
1 2 40 2.0966120809316634e-05 2.954722922295332e-05 0.7095799288357441
1 2 80 2.313750423491001e-05 2.986848335713148e-05 0.7746461029928939
1 2 160 2.2474625147879123e-05 3.072512485086918e-05 0.7314738428880083
1 2 320 2.3121541924774645e-05 3.211516663432121e-05 0.7199570903071338
1 2 640 2.485093344002962e-05 3.212045393884182e-05 0.773679397163765
1 2 1280 2.9921729117631912e-05 3.975026234984398e-05 0.7527429342299512
1 2 2560 4.9388758093118664e-05 6.294119600206613e-05 0.7846809598517545
1 2 5120 9.180927500128746e-05 0.0001184919210150838 0.7748146389626034
1 4 1 2.105670403689146e-05 3.081196658313274e-05 0.6833937061459245
1 4 2 2.0921896025538446e-05 3.1084750033915044e-05 0.6730598123746079
1 4 4 2.080861236900091e-05 3.0450700037181378e-05 0.6833541542096851
1 4 10 2.0795999839901925e-05 3.0033779330551626e-05 0.6924203448064679
1 4 20 2.1194645762443543e-05 2.9372958466410635e-05 0.7215700041478839
1 4 40 2.1504433266818523e-05 2.9814366810023785e-05 0.7212775439386019
1 4 80 2.244548760354519e-05 3.059237077832222e-05 0.7336955924792231
1 4 160 2.3727287352085115e-05 3.121424615383148e-05 0.7601428922919109
1 4 320 2.5397341698408125e-05 3.201633747667074e-05 0.7932619312535152
1 4 640 2.9501779191195965e-05 3.551674615591764e-05 0.8306441998285508
1 4 1280 4.935711678117514e-05 5.2930271066725255e-05 0.9324931799225871
1 4 2560 8.919800017029047e-05 9.361089188605547e-05 0.9528592065853145
1 4 5120 0.00016670016665011644 0.00014997763745486735 1.1115001508160267
1 8 1 2.0596233382821082e-05 3.068054579198361e-05 0.6713124832415004
1 8 2 2.0773041620850564e-05 3.0584970861673353e-05 0.6791911528966563
1 8 4 2.0746404118835927e-05 2.975640818476677e-05 0.6972079422360073
1 8 10 2.087908312678337e-05 2.937285006046295e-05 0.7108293231267832
1 8 20 2.144774179905653e-05 2.948777098208666e-05 0.7273436100709574
1 8 40 2.2304362431168555e-05 3.041889164596796e-05 0.7332404707824064
1 8 80 2.3518308252096175e-05 3.11642000451684e-05 0.754657851573584
1 8 160 2.6415950059890748e-05 3.08145584538579e-05 0.8572555112041056
1 8 320 2.934497520327568e-05 3.37403042241931e-05 0.8697306049254352
1 8 640 4.851978737860918e-05 5.058510433882475e-05 0.9591714401460587
1 8 1280 8.862502928823232e-05 8.371237087994815e-05 1.0586849751911747
1 8 2560 0.00016719798743724824 0.00012777651268988847 1.3085189438769163
1 8 5120 0.00032037691585719584 0.0002019757069647312 1.5862150982005956
1 16 1 2.0679024793207644e-05 3.0429199896752833e-05 0.6795783281641378
1 16 2 2.0625112578272818e-05 3.0195358395576476e-05 0.6830557302242298
1 16 4 2.0873683132231235e-05 2.973260823637247e-05 0.7020468223401961
1 16 10 2.154485434293747e-05 2.9687520675361156e-05 0.7257209040301703
1 16 20 2.2472949884831905e-05 3.063392490148544e-05 0.7335968197709524
1 16 40 2.421815823763609e-05 3.08701042085886e-05 0.7845181886654655
1 16 80 2.6188579201698302e-05 3.107307925820351e-05 0.8428060503461154
1 16 160 3.2055599987506866e-05 3.3427787385880946e-05 0.9589506962416048
1 16 320 4.941200446337462e-05 5.077068731188774e-05 0.9732388328689221
1 16 640 9.090805817395448e-05 7.437497917562723e-05 1.2222935613774957
